session,phase,category,frame,mean_dFF,H,W,n_frames
230714,Expert,Misses,7,0.0019038518897873976,142,170,22
230714,Expert,Misses,8,0.00168358785340076,142,170,22
230714,Expert,Misses,9,0.0005176069607359116,142,170,22
230714,Expert,Misses,10,-0.0004072676862681747,142,170,22
230714,Expert,Misses,11,-0.0013121793960235732,142,170,22
230714,Expert,Misses,12,-0.0028123501666972276,142,170,22
230714,Expert,Misses,13,-0.0038926858650534793,142,170,22
230714,Expert,Misses,14,-0.005122708290178194,142,170,22
230714,Expert,Misses,15,-0.006695969162782498,142,170,22
230714,Expert,Misses,16,-0.007533743385675164,142,170,22
230714,Expert,Misses,17,-0.007438180666879396,142,170,22
230714,Expert,Misses,18,-0.0068869731190474,142,170,22
230714,Expert,Misses,19,-0.004618929901031771,142,170,22
230714,Expert,Misses,20,-0.0008514436315955433,142,170,22
230714,Expert,Misses,21,0.0005582586534580879,142,170,22
230714,Expert,CR,0,0.010509874611981777,142,170,22
230714,Expert,CR,1,-0.0010492747078271393,142,170,22
230714,Expert,CR,2,0.00045458516440403777,142,170,22
230714,Expert,CR,3,0.0009801963050997356,142,170,22
230714,Expert,CR,4,0.0019988435771549603,142,170,22
230714,Expert,CR,5,0.0017397652722656064,142,170,22
230714,Expert,CR,6,0.0012502866723334556,142,170,22
230714,Expert,CR,7,0.0002805802653585543,142,170,22
230714,Expert,CR,8,-0.0004518376123566839,142,170,22
230714,Expert,CR,9,-0.0019105133478161903,142,170,22
230714,Expert,CR,10,-0.0032926315886163543,142,170,22
230714,Expert,CR,11,-0.002694219616049273,142,170,22
230714,Expert,CR,12,-0.002795359095111298,142,170,22
230714,Expert,CR,13,-0.003252516133110517,142,170,22
230714,Expert,CR,14,-0.003311441490980801,142,170,22
230714,Expert,CR,15,-0.003058382673195889,142,170,22
230714,Expert,CR,16,-0.0035580186228706327,142,170,22
230714,Expert,CR,17,-0.0018056381689276974,142,170,22
230714,Expert,CR,18,-0.0004326900523907498,142,170,22
230714,Expert,CR,19,-0.00021073934945618856,142,170,22
